price,square,apartment_type,apartment_floor,total_floors,adress,metro_station,distance_to_station
10069526,39,2-к. квартира,13,13,"п. Сосенское, дер. Николо-Хованское, кв-л 26, д. 4",Прокшино,0.8
7100000,"18,1",Квартира-студия,3,9,"ул. Маршала Бирюзова, 22к2",Октябрьское поле,0.4
16325220,"78,6",3-к. квартира,33,33,"ш. Открытое, вл. 18/1, корп. 1.4",Бульвар Рокоссовского,0.8
10397235,"53,1",2-к. квартира,5,21,"пос. Московский, стр. 1",Филатов луг,2.6
15361837,"85,3",3-к. квартира,20,21,"пос. Московский, стр. 1",Филатов луг,2.6
33380032,"87,7",3-к. апартаменты,23,23,"пр-т Нахимовский, вл. 31, корп. 2",Профсоюзная,1.5
11801088,"58,6",2-к. квартира,14,16,"дер. Николо-Хованское, д. 7, корп. 1",Прокшино,0.8
18947600,"93,8",3-к. квартира,17,33,"жилой комплекс Сигнальный 16, к1/1",Владыкино,0.8
12097409,"49,9",2-к. квартира,14,16,"п. Сосенское, дер. Николо-Хованское, кв-л 26, д. 3, корп. 3",Прокшино,0.7
9874347,"39,2",2-к. квартира,3,23,"ул. Маресьева, д. 1",Некрасовка,1.1
22184000,"75,2",3-к. квартира,25,25,"ул. Берзарина, вл. 32/3",Октябрьское поле,1.4
9185400,"37,8",1-к. квартира,3,33,"Кавказский б-р, жилые дома",Кантемировская,1.3
13349525,"47,5",2-к. квартира,17,17,"п. Сосенское, дер. Николо-Хованское, кв-л 26, д. 4",Прокшино,0.8
16375380,"38,1",2-к. квартира,3,20,"жилой комплекс Западный Порт, корп. 4",Фили,0.3
17551410,"64,7",2-к. квартира,2,17,"Очаковское ш., стр. 1.6",Аминьевская,0.3
14581764,"47,5",2-к. квартира,10,13,"2-й Котляковский пер., вл. 1/1",Варшавская,0.9
20331233,"78,6",3-к. квартира,2,14,"ул. Складочная, вл. 6, корп. 8",Савёловская,1.0
6747484,"20,6",Квартира-студия,9,15,"п. Сосенское, дер. Николо-Хованское, ул. Николо-Хованская/Сервантеса/б-р Веласкеса, жилые дома",Прокшино,1.3
30911500,"105,5",4-к. квартира,5,25,"Хорошевское ш., стр. 4",Беговая,0.5
12052280,"36,7",1-к. апартаменты,14,22,"ул. 1-я Магистральная, д. 25",Хорошёвская,0.7
12635844,"52,6",2-к. апартаменты,6,21,"ул. Сокольнический Вал, вл. 1Д",Рижская,1.1
24468208,"92,4",3-к. апартаменты,16,18,"пр-т Нахимовский, вл. 31, корп. 3",Профсоюзная,1.4
17515787,"93,1",3-к. квартира,11,21,"пос. Московский, стр. 1",Филатов луг,2.6
15102808,"51,3",2-к. квартира,7,33,"Очаковское ш., стр. 1.1",Аминьевская,0.3
17628485,"92,5",3-к. квартира,21,21,"пос. Московский, стр. 1",Филатов луг,2.6
22758543,"90,6",4-к. квартира,3,13,"2-й Котляковский пер., вл. 1/1",Варшавская,0.9
6287435,"17,8",Апартаменты-студия,16,21,"пр-д Автомобильный, вл. 4",Волгоградский проспект,0.8
13328100,59,2-к. квартира,2,12,"п. Сосенское, д. Бачурино, д. 5",Бунинская аллея,2.0
14187697,"41,4",2-к. квартира,28,32,"ул. Руставели, вл. 14/3, корп. 1, стр. 1.1",Бутырская,0.2
7700000,44,2-к. апартаменты,7,14,,Зеленоград,
9330750,45,2-к. квартира,13,14,"пос. Сосенское, дер. Столбово, стр. 12",Коммунарка,1.9
18418030,59,2-к. квартира,18,33,"ул. Руставели, вл. 14/3, корп. 1, стр. 1.2",Бутырская,0.3
18012082,"95,2",3-к. квартира,9,25,"ул. Никитина/Бианки, стр. 5",Филатов луг,2.0
15102350,74,3-к. квартира,2,16,"п. Сосенское, пос. Коммунарка, Скандинавский б-р, д. 5, корп. 1",Коммунарка,2.0
15473000,"77,6",2-к. апартаменты,14,28,"ул. Флотская, д. 7, корп. 4",Речной вокзал,1.4
15218999,"57,9",2-к. апартаменты,10,21,"ул. Сокольнический Вал, вл. 1Д",Рижская,1.1
7200000,"50,6",2-к. квартира,3,14,"ул. Клары Цеткин, 11к1",Войковская,1.2
28691774,"95,3",4-к. квартира,5,30,"ул. Петра Алексеева, вл. 12, корп. 5",Давыдково,1.3
9617614,"37,1",2-к. квартира,5,16,"п. Сосенское, дер. Николо-Хованское, кв-л 26, жилые дома",Прокшино,0.7
11339562,"33,8",1-к. квартира,21,33,"2-й Нагатинский пр-д, вл. 2/2",Нагатинская,1.3
11188878,"39,2",2-к. квартира,7,15,"п. Сосенское, дер. Николо-Хованское, кв-л 26, жилые дома",Прокшино,0.7
19388849,"77,8",3-к. квартира,2,32,"ул. Руставели, вл. 14/3, корп. 1, стр. 1.1",Бутырская,0.2
12753835,"40,8",1-к. квартира,4,24,"ш. Волоколамское, корп. 11",Спартак,0.8
13777222,"45,1",2-к. квартира,2,23,"2-й Котляковский пер., д. 4, корп. 2",Варшавская,0.8
8204170,"28,3",Апартаменты-студия,24,28,"ш. Волоколамское , вл. 24, корп. 3-5",Стрешнево,0.2
10497500,"47,5",1-к. квартира,26,33,"Кавказский б-р, жилые дома",Кантемировская,1.3
23745904,"88,2",3-к. квартира,5,15,"2-й Котляковский пер., вл. 1/1",Варшавская,0.9
7100000,"45,9",2-к. квартира,3,12,"Борисовский пр., 46к1",Домодедовская,0.8
60021000,117,3-к. квартира,11,26,"пр-д Береговой, вл. 2Б",Шелепиха,1.3
13025920,"50,1",1-к. апартаменты,21,23,"пр-т Нахимовский, вл. 31, корп. 2",Профсоюзная,1.5
10998054,"49,5",2-к. квартира,21,22,"ул. Бартеневская, стр. 1.4",Бунинская аллея,1.0
12433716,"64,4",2-к. квартира,16,21,"пос. Московский, стр. 1",Филатов луг,2.6
8976860,"46,1",1-к. квартира,1,13,"п. Внуковское, дер. Рассказовка, уч. 13/2",Рассказовка,1.1
46965846,"119,5",4-к. квартира,23,28,"ул. Автозаводская, вл. 23/66",Нагатинская,1.1
5300000,33,1-к. квартира,4,9,"ул. Пестеля, 3А",Отрадное,0.5
15098470,"42,8",1-к. квартира,2,24,"ул. Барклая, вл. 6, 6Т, стр. 5",Багратионовская,0.6
17079666,"86,8",3-к. квартира,19,21,"ул. Бартеневская, стр. 1.2",Бунинская аллея,1.0
17417612,"81,5",3-к. квартира,2,16,"п. Сосенское, д. Бачурино, д. 7",Улица Горчакова,2.2
28652280,"109,8",2-к. квартира,49,56,"пр-т Мира, д. 188Б, корп. 1",Ростокино,0.8
36673756,"98,4",3-к. квартира,23,39,"ул. Лобачевского , вл. 120",Аминьевская,0.3
19299350,"40,7",2-к. квартира,15,57,"пр-д Багратионовский, стр. 5",Фили,0.5
15431240,"74,8",3-к. квартира,14,23,"Кавказский б-р, жилые дома",Кантемировская,1.3
10899200,"41,6",1-к. квартира,20,33,"жилой комплекс Сигнальный 16, к1/3",Владыкино,0.9
7762239,"44,5",2-к. квартира,9,9,"п. Филимонковское, дер. Староселье, стр. 5",,
15243679,"66,7",3-к. квартира,4,9,"п. Сосенское, дер. Николо-Хованское, ул. Николо-Хованская/Сервантеса/б-р Веласкеса, жилые дома",Прокшино,1.3
13000000,"54,3",2-к. квартира,4,10,"Мячковский б-р, 8к3",Братиславская,0.4
12688940,"42,1",1-к. квартира,16,24,"ш. Волоколамское, корп. 11",Спартак,0.8
17433780,"80,6",3-к. квартира,22,33,"ул. Газопровод, стр. 1",Аннино,1.0
15597600,"38,8",1-к. квартира,28,32,"ул. Бочкова, вл. 11А, корп. 3",Алексеевская,0.9
23075740,"86,2",3-к. квартира,12,12,"ш. Волоколамское, корп. 12",Спартак,0.7
5340000,"30,5",1-к. квартира,3,5,"Большая Филёвская ул., 59к2",Пионерская,0.3
9143441,"29,3",Апартаменты-студия,11,21,"ул. Сокольнический Вал, вл. 1Д",Рижская,1.1
5926813,"17,5",Апартаменты-студия,6,21,"пр-д Автомобильный, вл. 4",Волгоградский проспект,0.8
15263241,59,2-к. квартира,1,24,"ш. Волоколамское, корп. 11",Спартак,0.8
10708778,"38,7",1-к. квартира,16,16,"п. Коммунарка, ул. Эдварда Грига, д. 16, корп. 2",Бунинская аллея,2.0
24643264,"92,9",3-к. апартаменты,15,18,"пр-т Нахимовский, вл. 31, корп. 3",Профсоюзная,1.4
