price_per_square_metr,price,square,distance_to_station,total_floors,district,metro_station,apartment_type
258.21,10.07,39.0,0.8,13,Новомосковский,Прокшино,2-к квартира
392.27,7.1,18.1,0.4,9,Северо-западный,Октябрьское поле,Квартира-студия
207.76,16.33,78.6,0.8,33,Восточный,Бульвар Рокоссовского,3-к квартира
195.86,10.4,53.1,2.6,21,Новомосковский,Филатов луг,2-к квартира
180.07,15.36,85.3,2.6,21,Новомосковский,Филатов луг,3-к квартира
380.62,33.38,87.7,1.5,23,Юго-западный,Профсоюзная,3-к апартаменты
201.37,11.8,58.6,0.8,16,Новомосковский,Прокшино,2-к квартира
202.03,18.95,93.8,0.8,33,Северо-восточный,Владыкино,3-к квартира
242.48,12.1,49.9,0.7,16,Новомосковский,Прокшино,2-к квартира
251.79,9.87,39.2,1.1,23,Юго-восточный,Некрасовка,2-к квартира
294.95,22.18,75.2,1.4,25,Северо-западный,Октябрьское поле,3-к квартира
243.12,9.19,37.8,1.3,33,Южный,Кантемировская,1-к квартира
281.05,13.35,47.5,0.8,17,Новомосковский,Прокшино,2-к квартира
429.92,16.38,38.1,0.3,20,Западный,Фили,2-к квартира
271.25,17.55,64.7,0.3,17,Западный,Аминьевская,2-к квартира
306.95,14.58,47.5,0.9,13,Южный,Варшавская,2-к квартира
258.65,20.33,78.6,1.0,14,Северный,Савёловская,3-к квартира
327.67,6.75,20.6,1.3,15,Новомосковский,Прокшино,Квартира-студия
292.99,30.91,105.5,0.5,25,Северный,Беговая,4-к квартира
328.34,12.05,36.7,0.7,22,Северный,Хорошёвская,1-к апартаменты
240.3,12.64,52.6,1.1,21,Центральный,Рижская,2-к апартаменты
264.83,24.47,92.4,1.4,18,Юго-западный,Профсоюзная,3-к апартаменты
188.18,17.52,93.1,2.6,21,Новомосковский,Филатов луг,3-к квартира
294.35,15.1,51.3,0.3,33,Западный,Аминьевская,2-к квартира
190.59,17.63,92.5,2.6,21,Новомосковский,Филатов луг,3-к квартира
251.21,22.76,90.6,0.9,13,Южный,Варшавская,4-к квартира
353.37,6.29,17.8,0.8,21,Юго-восточный,Волгоградский проспект,Апартаменты-студия
225.93,13.33,59.0,2.0,12,Юго-западный,Бунинская аллея,2-к квартира
342.75,14.19,41.4,0.2,32,Северо-восточный,Бутырская,2-к квартира
207.33,9.33,45.0,1.9,14,Новомосковский,Коммунарка,2-к квартира
312.2,18.42,59.0,0.3,33,Северо-восточный,Бутырская,2-к квартира
189.18,18.01,95.2,2.0,25,Новомосковский,Филатов луг,3-к квартира
204.05,15.1,74.0,2.0,16,Новомосковский,Коммунарка,3-к квартира
199.36,15.47,77.6,1.4,28,Северный,Речной вокзал,2-к апартаменты
262.87,15.22,57.9,1.1,21,Центральный,Рижская,2-к апартаменты
142.29,7.2,50.6,1.2,14,Северный,Войковская,2-к квартира
301.05,28.69,95.3,1.3,30,Западный,Давыдково,4-к квартира
259.3,9.62,37.1,0.7,16,Новомосковский,Прокшино,2-к квартира
335.5,11.34,33.8,1.3,33,Южный,Нагатинская,1-к квартира
285.46,11.19,39.2,0.7,15,Новомосковский,Прокшино,2-к квартира
249.23,19.39,77.8,0.2,32,Северо-восточный,Бутырская,3-к квартира
312.5,12.75,40.8,0.8,24,Северо-западный,Спартак,1-к квартира
305.54,13.78,45.1,0.8,23,Южный,Варшавская,2-к квартира
289.75,8.2,28.3,0.2,28,Северный,Стрешнево,Апартаменты-студия
221.05,10.5,47.5,1.3,33,Южный,Кантемировская,1-к квартира
269.27,23.75,88.2,0.9,15,Южный,Варшавская,3-к квартира
154.68,7.1,45.9,0.8,12,Южный,Домодедовская,2-к квартира
512.99,60.02,117.0,1.3,26,Центральный,Шелепиха,3-к квартира
260.08,13.03,50.1,1.5,23,Юго-западный,Профсоюзная,1-к апартаменты
222.22,11.0,49.5,1.0,22,Юго-западный,Бунинская аллея,2-к квартира
193.01,12.43,64.4,2.6,21,Новомосковский,Филатов луг,2-к квартира
194.79,8.98,46.1,1.1,13,Новомосковский,Рассказовка,1-к квартира
393.05,46.97,119.5,1.1,28,Южный,Нагатинская,4-к квартира
160.61,5.3,33.0,0.5,9,Северо-восточный,Отрадное,1-к квартира
352.8,15.1,42.8,0.6,24,Западный,Багратионовская,1-к квартира
196.77,17.08,86.8,1.0,21,Юго-западный,Бунинская аллея,3-к квартира
213.74,17.42,81.5,2.2,16,Юго-западный,Улица Горчакова,3-к квартира
260.93,28.65,109.8,0.8,56,Северо-восточный,Ростокино,2-к квартира
372.66,36.67,98.4,0.3,39,Западный,Аминьевская,3-к квартира
474.2,19.3,40.7,0.5,57,Западный,Фили,2-к квартира
206.28,15.43,74.8,1.3,23,Южный,Кантемировская,3-к квартира
262.02,10.9,41.6,0.9,33,Северо-восточный,Владыкино,1-к квартира
228.49,15.24,66.7,1.3,9,Новомосковский,Прокшино,3-к квартира
